channel,assumed_source_ohm,scenario,corners,gain_min,gain_max,residual_100ms_max,residual_10s_max,residual_20s_max,slowest_network_pole_tau_max_s,resistor_rms_0_to_infinity_max_uV
He,0,initial_plus_temperature,64,0.9999999999999992,1.0000000000000007,3.552713678800501e-15,0.0,0.0,0.0030078979637771833,0.06290799482740257
He,0,initial_plus_temperature_low_C,64,0.9999999999999993,1.0000000000000007,0.0,0.0,0.0,0.0022232289297483537,0.0731720630165654
He,0,hypothetical_50pct_effective_C,64,0.9999999999999989,1.0000000000000007,0.0,0.0,0.0,0.0013069656858652346,0.09540469784224659
He,100,initial_tolerance,64,0.9999999999999993,1.0000000000000009,2.220446049250313e-16,0.0,0.0,0.0027239600845900976,0.06746130880130614
He,100,initial_plus_temperature,64,0.9999999999999993,1.0000000000000007,1.3988810110276972e-14,0.0,0.0,0.003134430952379181,0.06290799482740257
He,100,initial_plus_temperature_low_C,64,0.9999999999999991,1.0000000000000007,0.0,0.0,0.0,0.002316753312628091,0.0731720630165654
He,100,hypothetical_50pct_effective_C,64,0.9999999999999992,1.0000000000000007,0.0,0.0,0.0,0.0013619800422950492,0.09540469784224659
He,1000,initial_tolerance,64,0.9999999999999989,1.000000000000001,2.0715651416480796e-12,0.0,0.0,0.0037170889816439353,0.06746130880130614
He,1000,initial_plus_temperature,64,0.9999999999999991,1.0000000000000004,6.993450263337309e-11,0.0,0.0,0.004276527536364979,0.06290799482740257
He,1000,initial_plus_temperature_low_C,64,0.9999999999999989,1.0000000000000009,1.8318679906315083e-14,0.0,0.0,0.0031609116573132453,0.0731720630165654
He,1000,hypothetical_50pct_effective_C,64,0.9999999999999992,1.0000000000000009,0.0,0.0,0.0,0.0018585444908219677,0.09540469784224659
He,10000,initial_tolerance,64,0.999999999999997,1.0000000000000022,0.000677668462577774,0.0,0.0,0.013702702021362778,0.06746130880130614
He,10000,initial_plus_temperature,64,0.999999999999998,1.000000000000002,0.001756889554840213,0.0,0.0,0.0157599718480225,0.06290799482740257
He,10000,initial_plus_temperature_low_C,64,0.9999999999999979,1.000000000000002,0.00018713340454068472,0.0,0.0,0.011648674844190526,0.0731720630165654
He,10000,hypothetical_50pct_effective_C,64,0.9999999999999977,1.0000000000000013,4.587854705029315e-07,0.0,0.0,0.006851351010681389,0.09540469784224659
He,100000,initial_tolerance,64,0.9999999999999764,1.0000000000000184,0.4150146160419189,0.0,0.0,0.11368836142006752,0.06746130880130614
He,100000,initial_plus_temperature,64,0.999999999999978,1.0000000000000158,0.4654733623384769,0.0,0.0,0.13074347457599436,0.06290799482740257
He,100000,initial_plus_temperature_low_C,64,0.9999999999999739,1.0000000000000233,0.35535077516604774,0.0,0.0,0.09663648120834427,0.0731720630165654
He,100000,hypothetical_50pct_effective_C,64,0.9999999999999728,1.000000000000016,0.17221026009253948,0.0,0.0,0.056844180710032687,0.09540469784224659
He,1000000,initial_tolerance,64,0.9999999999998114,1.000000000000181,0.9141291327413276,0.00012590702594794667,1.5852319235065693e-08,1.1135878287034098,0.06746130880130614
He,1000000,initial_plus_temperature,64,0.9999999999997389,1.0000000000001883,0.924899413724277,0.00040620470949626064,1.6499955945992184e-07,1.2806278611961852,0.06290799482740257
He,1000000,initial_plus_temperature_low_C,64,0.999999999999808,1.0000000000002016,0.8997572266532649,2.581243018695556e-05,6.662705942517277e-10,0.9465510278407143,0.0731720630165654
He,1000000,hypothetical_50pct_effective_C,64,0.9999999999997706,1.0000000000002032,0.8356183686739194,1.5852319235065693e-08,2.220446049250313e-16,0.5567939143517081,0.09540469784224659
